index,account,fund,department,type,source_page,parse_status,review_reason,ocr_source_line
128,099-305-904,State Fines / Fees,District Clerk Fees,Revenue,142,parsed,YTD/percent consistency check failed,2027 099-305-904 JURY TRIAL FEE (2020) 10.00 10.00 00.00 75 4.00
129,099-306-000,State Fines / Fees,J.P. Fees,Revenue,142,review,ambiguous OCR field grouping,2027 099-306-000 J.P. FEES 00 00.00 00 1)
130,099-306-103,State Fines / Fees,J.P. Fees,Revenue,142,parsed,implausible OCR magnitude,"2027 099-306-103 STATE CCC 01-01-2020 125,000.00 35,000.00 122,362.36 349.61 96,693.15 37,398.88"
131,099-306-114,State Fines / Fees,J.P. Fees,Revenue,142,parsed,YTD/percent consistency check failed,2027 099-306-114 MOVING VIOLATIONS FEE (HV 50.00 50.00 78 1.56 1.96 2.64
132,099-306-120,State Fines / Fees,J.P. Fees,Revenue,142,parsed_missing_requested,YTD/percent consistency check failed,"2027 099-306-120 MOTOR CARRIER WEIGHT (CVE 100.00 1,500.00 00.00 1.00 1,208.50"
133,099-306-121,State Fines / Fees,J.P. Fees,Revenue,142,parsed,YTD/percent consistency check failed,2027 099-306-121 TIME PAYMENT PLAN (TP) 50.00 500.00 953 1.91 119.21 100.00
134,099-306-122,State Fines / Fees,J.P. Fees,Revenue,142,parsed_missing_requested,YTD/percent consistency check failed,2027 099-306-122 FUGITIVE APPREHENSION 10.00 100.00 00.00 10.00 00
135,099-306-165,State Fines / Fees,J.P. Fees,Revenue,142,inferred_partial,incomplete numeric columns,2027 099-306-165 CIVIL £-FILE 100.00 00.00 00 00
136,099-306-167,State Fines / Fees,J.P. Fees,Revenue,142,review,ambiguous OCR field grouping,2027 099-306-167 PERSONNEL TRAINING FEE 100.00 00.00 4.00 00
137,099-306-194,State Fines / Fees,J.P. Fees,Revenue,142,review,ambiguous OCR field grouping,2027 099-306-194 COMPENSATION TO CRIME VICTIM 50.00 00.00 30.00 00
138,099-400-454,State Fines / Fees,State Fines & Fees,Expenditure,143,parsed_missing_requested,YTD/percent consistency check failed,2027 099-400-454 CHILO SAFETY SEAT 100.00 200.00 00.00 291.95 60.00-
139,099-405-489,State Fines / Fees,Justice Of The Peace Exp,Expenditure,144,parsed,YTD/percent consistency check failed,"2027 099-405-489 COLLECTION FEES 8,500.00 8,500.00 7.879.338 92.70 7,134.43 7,170.37"
140,099-406-998,State Fines / Fees,Dept 406,Expenditure,144,parsed,YTD/percent consistency check failed,"2027 099-406-998 EXPENDITURES 8,500.00 8,500.00 7.879.338 92.70 7,134.43 7,170.37"
