index,Status,PDF Page,Account,Fund,Department,Line Item,Type,2027 Requested,2027 Approved,2026 Budget,2026 YTD,% Used,2025 Actual,2024 Actual,OCR Source Line
67,Verified,104,081-601-998,Jack Co. Work Program,C.C.P. Expenses,JACK CO WORK PRG EXPENDITURE,Expenditure,136672.19,,104492,96507.29,92.36,0.0,0.0,"2027 081-601-998 JACK CO WORK PRG EXPENDITURE 136,672.19 104,492.00 96,507.29 92.36 ) 00"
68,Verified,104,081-999-999,Jack Co. Work Program,Jack Co Work Prg,TOTAL EXPENDITURES,Expenditure,136672.19,,104492,96507.29,92.36,0.0,0.0,"2027 081-999-999 TOTAL EXPENDITURES 136,672.19 104,492.00 96.07.29 92.36 00 00"
69,Corrected,107,083-300-997,CARES Act Grant,Cares Act Grant Income,TOTAL CARES ACT GRANT INCOME,Revenue,,,0,0.0,0.0,0.0,0.0,2027 083-300-997 TOTAL CARES ACT GRANT INCOME i) 00.00 1) 00
70,Verified,109,083-501-207,CARES Act Grant,Emg Manag,SCHOOL/CONFERENCE,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 083-501-207 SCHOOL/CONFERENCE 00 00.00 00 09
71,Verified,109,083-501-313,CARES Act Grant,Emg Manag,FURNITURE/EQUIPMENT,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 083-501-313 FURNITURE/EQUIPMENT 00 00.00 1) 00
72,Verified,109,083-501-403,CARES Act Grant,Emg Manag,COMMUNICATION TOWER INSURA,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 083-501-403 COMMUNICATION TOWER  INSURA 7) 00.00 00 00
73,Corrected,109,083-501-604,CARES Act Grant,Emg Manag,TELEPHONE,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 083-501-604 TELEPHONE 7) 00.00 00 00
74,Verified,109,083-501-912,CARES Act Grant,Emg Manag,RADIO/COMMUNICATION,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 083-501-912 RADIO/COMMUNICATION 09 00.00 7) 00
75,Verified,109,083-999-999,CARES Act Grant,Emergency Mngt.,TOTAL CARES ACT EXPENDITURES,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 083-999-999 TOTAL CARES ACT EXPENDITURES 00 00.00 00 oo
76,Verified,111,084-516-301,Courthouse Renovation Fund,Courthouse Renovation Expe,ARCHITECT,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 084-516-301 ARCHITECT 09 00.00 00 00
77,Verified,111,084-516-305,Courthouse Renovation Fund,Courthouse Renovation Expe,AUDIT EXPENSE,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 084-516-305 AUDIT EXPENSE 00 00.00 00 09
78,Verified,113,085-516-200,Courthouse Renovation II,Crt Renov,CERTIFICATES OF OBLIGATION,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 085-516-200 CERTIFICATES OF OBLIGATION 00 00.00 09 00
79,Verified,113,085-516-300,Courthouse Renovation II,Crt Renov,ADMINISTRATION FEES,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 085-516-300 ADMINISTRATION FEES 00 00.00 09 00
80,Verified,114,086-300-302,Unclaimed Property Account,Unclaimed,INMATE TRUST STALE,Revenue,,,100,0.0,0.0,0.0,0.0,2027 086-300-302 INMATE TRUST STALE 100.00 00.00 00 00
81,Corrected,114,086-300-303,Unclaimed Property Account,Unclaimed,COUNTY CLERK STALE,Revenue,,,0,0.0,0.0,0.0,0.0,2027 086-300-303 COUNTY CLERK STALE i) oo 00 00 7)
82,Verified,114,086-300-307,Unclaimed Property Account,Unclaimed,COUNTY TREASURER STALE,Revenue,,,750,0.0,0.0,0.0,0.0,2027 086-300-307 COUNTY TREASURER STALE 750.00 00.00 00 00
83,Verified,114,086-300-308,Unclaimed Property Account,Unclaimed,JACK COUNTY CSCO STALE,Revenue,,,25,0.0,0.0,0.0,0.0,2027 086-300-308 JACK COUNTY CSCO STALE 25.00 00.00 00 00
84,Verified,115,086-400-305,Unclaimed Property Account,Unclaimed Property Expenses,DISTRICT CLERK CLAIM,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 086-400-305 DISTRICT CLERK CLAIM 00 00.00 00 7)
85,Verified,115,086-400-307,Unclaimed Property Account,Unclaimed Property Expenses,COUNTY TREASURER CLAIM,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 086-400-307 COUNTY TREASURER CLAIM 00 00.00 00 7)
86,Verified,115,086-999-998,Unclaimed Property Account,Unclaimed Property Acct Tota,UNCLAIMED PROPERTY ACCT TOTA,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 086-999-998 UNCLAIMED PROPERTY ACCT TOTA 00 00.00 00 i)
87,Verified,116,087-300-306,Extradition Account,Dept 300,REVENUE,Revenue,1500.0,,0,1320.0,0.0,0.0,3246.51,"2027 087-300-306 REVENUE 1,500.00 00 1,320.00 .00 003,246.51"
88,Verified,116,087-399-999,Extradition Account,Dept 399,TOTAL REVENUE,Revenue,1500.0,,0,1320.0,0.0,0.0,3246.51,"2027 087-399-999 TOTAL REVENUE 1,500.00 00 1,320.00 .00 003,246.51"
89,Verified,123,092-300-000,District & County Court Tech,District Court Tech Fund,DISTRICT COURT TECH FUND,Revenue,,,0,0.0,0.0,0.0,0.0,2027 092-300-000 DISTRICT COURT TECH FUND 09 00.00 00 00
90,Verified,124,092-403-000,District & County Court Tech,County Court Tech Fund E,COUNTY COURT TECH FUND E,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 092-403-000 COUNTY COURT TECH FUND E 00 00.00 00 i)
91,Verified,124,092-403-206,District & County Court Tech,County Court Tech Fund E,COUNTY COURT TECH FUND E,Expenditure,,,750,0.0,0.0,739.66,0.0,2027 092-403-206 COUNTY COURT TECH FUND & 750.00 00.00 739.66 00
92,Verified,125,092-405-998,District & County Court Tech,District Court Tech Fund,EXPENDITURES,Expenditure,,,0,0.0,0.0,0.0,0.0,2027 092-405-998 EXPENDITURES 00 00.00 00 i)
93,Corrected,127,093-401-207,Probate Education Fund,Probate Education Fund,SCHOOL /CONFERENCE,Expenditure,1000.0,,1000,0.0,0.0,0.0,727.75,"2027 093-401-207 SCHOOL /CONFERENCE 1,000.00 1,000.00 00.00 00 721.75"
94,Corrected,127,093-401-998,Probate Education Fund,Probate Education Fund,PROBATE EDUCATION EXPENDITUR,Expenditure,1000.0,,1000,0.0,0.0,0.0,727.75,"2027 093-401-998 PROBATE EDUCATION EXPENDITUR 1,000.00 1,000.00 00.00 00 721.75"
